Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/18/2026,Milwaukee Brewers @ Miami Marlins,Miami Marlins,Home,F5 ML,-118.0,betmgm,63.1,54.1,9.0,,,54.5,50.0,0.97,0.0,LOSS,3-1,False,unknown,,,,,
04/18/2026,Milwaukee Brewers @ Miami Marlins,Miami Marlins,Home,F5 Spread,120.0,williamhill_us,69.9,45.5,24.4,-0.5,0.5,48.6,50.0,0.97,0.0,LOSS,3-1,False,unknown,,,,,
04/18/2026,Milwaukee Brewers @ Miami Marlins,Over,Over,F5 Total,100.0,williamhill_us,60.1,50.0,10.1,4.42,3.8,48.6,50.0,0.97,0.0,WIN,3-1,False,unknown,,,,,
04/18/2026,New York Mets @ Chicago Cubs,New York Mets,Away,F5 ML,-115.0,williamhill_us,56.4,53.5,2.9,,,64.4,50.0,1.06,0.0,PUSH,1-1,False,unknown,,,,,
04/18/2026,New York Mets @ Chicago Cubs,New York Mets,Away,F5 Spread,120.0,williamhill_us,62.8,45.5,17.4,-0.5,-0.5,57.6,50.0,1.06,0.0,LOSS,1-1,False,unknown,,,,,
04/18/2026,New York Mets @ Chicago Cubs,Under,Under,F5 Total,-125.0,betmgm,60.1,55.6,4.6,3.91,4.5,57.6,50.0,1.06,0.0,WIN,1-1,False,unknown,,,,,
04/18/2026,San Diego Padres @ Los Angeles Angels,Los Angeles Angels,Home,F5 Spread,106.0,fanduel,57.3,48.5,8.8,-0.5,0.5,52.0,50.0,1.03,0.0,LOSS,0-0,False,unknown,,,,,
04/18/2026,San Diego Padres @ Los Angeles Angels,Under,Under,F5 Total,-125.0,betmgm,65.2,55.6,9.7,4.6,5.5,52.0,50.0,1.03,0.0,WIN,0-0,False,unknown,,,,,
04/18/2026,San Francisco Giants @ Washington Nationals,Washington Nationals,Home,F5 ML,-112.0,fanduel,55.7,52.8,2.9,,,62.8,50.0,0.99,0.0,WIN,3-5,False,unknown,,,,,
04/18/2026,San Francisco Giants @ Washington Nationals,Washington Nationals,Home,F5 Spread,115.0,williamhill_us,59.8,46.5,13.3,-0.2,0.2,56.8,50.0,0.99,0.0,WIN,3-5,False,unknown,,,,,
04/18/2026,San Francisco Giants @ Washington Nationals,Under,Under,F5 Total,-118.0,betmgm,59.5,54.1,5.3,4.95,5.5,56.8,50.0,0.99,0.0,LOSS,3-5,False,unknown,,,,,
04/18/2026,St. Louis Cardinals @ Houston Astros,Houston Astros,Home,F5 ML,-145.0,williamhill_us,58.5,59.2,-0.7,,,57.1,50.0,1.0,0.0,LOSS,4-1,False,unknown,,,,,
04/18/2026,St. Louis Cardinals @ Houston Astros,Houston Astros,Home,F5 Spread,-105.0,williamhill_us,65.8,51.2,14.6,-0.5,0.5,54.8,50.0,1.0,0.0,LOSS,4-1,False,unknown,,,,,
